,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Donald_Davidson_(philosopher),5,1845.4,120.999173551,1632.0,1926.0,1899.5,149.698586054,6,1947.4,10.7144761888,1931.0,1956.0,2007.0,0.0
Juan_José_Sebreli,6,1821.0,76.7528501099,1724.0,1905.0,1896.6,83.4164252411,0,,,,,,
Charles_Maurras,4,1782.0,34.4577035412,1753.0,1823.0,1852.5,30.1606808058,2,1875.0,9.89949493661,1868.0,1882.0,1962.5,14.8492424049
Burton_Dreben,1,1889.0,,1889.0,1889.0,1951.0,,1,1908.0,,1908.0,1908.0,2000.0,
Ullin_Place,1,1900.0,,1900.0,1900.0,1976.0,,0,,,,,,
Iamblichus,5,-188.8,378.709915371,-570.0,234.0,-118.0,376.204066964,2,208.5,287.792459943,5.0,412.0,246.5,340.118361751
Michael_Devitt,1,1908.0,,1908.0,1908.0,2000.0,,0,,,,,,
Meister_Eckhart,4,608.0,514.890926961,5.0,1200.0,662.5,544.398444769,7,1839.14285714,195.669303138,1401.0,1973.0,1872.6,228.448681327
Othmar_Spann,0,,,,,,,1,1901.0,,1901.0,1901.0,1985.0,
Margaret_Urban_Walker,3,1929.0,0.0,1929.0,1929.0,2012.0,,0,,,,,,
Bijan_Abdolkarimi,2,1889.0,,1889.0,1889.0,1976.0,,0,,,,,,
Werner_Krieglstein,1,1903.0,,1903.0,1903.0,1969.0,,0,,,,,,
Lorella_Cedroni,1,1909.0,,1909.0,1909.0,2004.0,,0,,,,,,
Baron_d'Holbach,3,1670.66666667,71.5984171147,1588.0,1713.0,1746.33333333,58.4494083232,4,1830.75,90.4263051698,1748.0,1959.0,1850.0,28.7923600978
Julia_Kristeva,5,1909.4,13.6491757993,1895.0,1930.0,1983.0,12.0623380818,3,,,,,,
Geoffrey_Scarre,1,1806.0,,1806.0,1806.0,1873.0,,0,,,,,,
William_of_Ockham,3,653.666666667,903.49672569,-384.0,1266.0,709.333333333,897.009104376,6,1520.66666667,335.464354788,1323.0,1908.0,1588.66666667,356.226519694
Bernard_Bolzano,1,1646.0,,1646.0,1646.0,1716.0,,4,1876.5,49.9366265047,1848.0,1951.0,1933.0,7.0
Georges_Dumézil,1,,,,,,,2,1934.5,12.0208152802,1926.0,1943.0,1984.0,
‘Abd_ar-Razzaq_as-San‘ani,1,,,,,150.0,,0,,,,,,
Giuseppe_Mazzini,3,1012.33333333,1247.53370028,-428.0,1753.0,1083.66666667,1240.04610129,3,1876.5,2.12132034356,1875.0,1878.0,1932.0,16.9705627485
William_Cleghorn,0,,,,,,,1,1723.0,,1723.0,1723.0,1816.0,
Lewis_Gordon,3,1884.33333333,23.3523731842,1859.0,1905.0,1964.66666667,23.1804515343,0,,,,,,
Fazlur_Rahman_Faridi,1,,,,,1979.0,,0,,,,,,
Karl-Otto_Apel,4,1856.0,88.7580982221,1724.0,1916.0,1939.0,91.0054943396,1,,,,,,
Alexis_de_Tocqueville,3,1674.66666667,46.1988455844,1623.0,1712.0,1731.66666667,61.4193237779,3,1880.66666667,65.9570567364,1806.0,1931.0,1928.0,77.7817459305
André_Gorz,1,1926.0,,1926.0,1926.0,2002.0,,0,,,,,,
Aleksei_Losev,1,1853.0,,1853.0,1853.0,1900.0,,0,,,,,,
Hermann_Lotze,3,1773.66666667,3.21455025366,1770.0,1776.0,1842.0,11.5325625947,8,1850.75,11.145146285,1836.0,1872.0,1922.75,25.0983778645
